Name,Edit Link
"New email",https://app.hubspot.com/email/24270685/edit/190937053970/content
"Email following NPS score submission: Asking for case study and Trustpilot review",https://app.hubspot.com/email/24270685/edit/194848360319/content
"Email following NPS score submission: Just focusing on Trustpilot ask",https://app.hubspot.com/email/24270685/edit/194853964683/content
"WIN-BACK 3/5: Churned",https://app.hubspot.com/email/24270685/edit/197203308463/content
"WIN-BACK 2/5: Churned",https://app.hubspot.com/email/24270685/edit/197209115311/content
"RE-ENGAGE 3/5: MQL Nurture",https://app.hubspot.com/email/24270685/edit/197209286703/content
"RE-ENGAGE 4/5: MQL Nurture",https://app.hubspot.com/email/24270685/edit/197209286713/content
"RE-ENGAGE 5/5: MQL Nurture",https://app.hubspot.com/email/24270685/edit/197209286729/content
"WIN-BACK 5/5: Churned",https://app.hubspot.com/email/24270685/edit/197209287188/content
"RE-ENGAGE 2/5: MQL Nurture",https://app.hubspot.com/email/24270685/edit/197211385949/content
"RE-ENGAGE 1/5: MQL Nurture",https://app.hubspot.com/email/24270685/edit/197212388384/content
"WIN-BACK 1/5: Churned",https://app.hubspot.com/email/24270685/edit/197212389897/content
"WIN-BACK 4/5: Churned",https://app.hubspot.com/email/24270685/edit/197212677817/content
"Wallet Nurture 1/6",https://app.hubspot.com/email/24270685/edit/198791733827/content
"Wallet Nurture 2/6",https://app.hubspot.com/email/24270685/edit/198805412000/content
"Wallet Nurture 3/6",https://app.hubspot.com/email/24270685/edit/198805412106/content
"11/8: MQL Nurture 2/3",https://app.hubspot.com/email/24270685/edit/199308958496/content
"11/8: MQL Nurture 1/3",https://app.hubspot.com/email/24270685/edit/199324507139/content
"TrustPilot Internal Email: NPS",https://app.hubspot.com/email/24270685/edit/200869208972/content
